"practice_code","practice_name","overall_achievement","stia007_numerator","stia007_denominator","stia014_numerator","stia014_denominator","stia015_numerator","stia015_denominator","prop_stia007","prop_stia014","prop_stia015","imd_rank","total_patients","patients_65_plus","patients_female","prop_65_plus","prop_female","stroke_prevalence","imd_quintile","listsize_quintile","prevalence_quintile","age65_quintile","female_quintile"
"A84006","Alnwick Medical Group",0.946363636363636,406,412,254,322,169,192,0.985436893203884,0.788819875776398,0.880208333333333,15548,18883,5974,9676,0.316369220992427,0.512418577556532,0.021818566964995,3,5,5,5,5
"A84005","Bedlingtonshire Med.Group",1,245,250,159,198,89,95,0.98,0.803030303030303,0.936842105263158,19666,12774,2854,6639,0.223422577109754,0.519727571629873,0.0195710036010647,2,4,5,4,5
"A84008","Belford Medical Practice",1,117,118,76,89,36,42,0.991525423728814,0.853932584269663,0.857142857142857,13749,4499,1686,2305,0.374749944432096,0.512336074683263,0.0262280506779284,3,1,5,5,5
"A84027","Bellingham Practice",0.949090909090909,66,67,46,60,34,36,0.985074626865672,0.766666666666667,0.944444444444444,12739,3424,1081,1717,0.31571261682243,0.501460280373832,0.0195677570093458,3,1,5,5,3
"A84047","Branch End Surgery",1,111,112,77,92,55,60,0.991071428571429,0.83695652173913,0.916666666666667,21271,5403,1580,2767,0.292430131408477,0.512122894688136,0.0207292245049047,2,2,5,5,4
"A84024","Burn Brae Medical Group",1,201,207,116,136,141,155,0.971014492753623,0.852941176470588,0.909677419354839,6288,10426,3157,5384,0.302800690581239,0.51640130443123,0.019854210627278,4,4,5,5,5
"A84022","Coquet Medical Group",0.986363636363636,317,317,174,220,122,137,1,0.790909090909091,0.89051094890511,8166,12165,3691,6303,0.30341142622277,0.518125770653514,0.0260583641594739,4,4,5,5,5
"A84018","Corbridge Health Centre",1,166,174,95,122,104,114,0.954022988505747,0.778688524590164,0.912280701754386,28728,7306,2545,3821,0.348343826991514,0.522994798795511,0.0238160416096359,1,2,5,5,5
"A84025","Cramlington Medical Group",1,90,91,75,92,35,37,0.989010989010989,0.815217391304348,0.945945945945946,14837,5400,1405,2688,0.260185185185185,0.497777777777778,0.0168518518518519,3,2,4,5,2
"A84619","Elsdon Avenue Surgery",1,90,90,73,87,27,28,1,0.839080459770115,0.964285714285714,8390,4289,1005,2206,0.234320354394964,0.514339006761483,0.0209839123338774,4,1,5,4,5
"A84038","Forum Family Practice",1,167,170,125,146,69,76,0.982352941176471,0.856164383561644,0.907894736842105,14837,9019,2198,4744,0.243707728129504,0.526000665262224,0.0188490963521455,3,3,5,4,5
"A84039","Gas House Lane Surgery",1,140,141,74,96,72,78,0.99290780141844,0.770833333333333,0.923076923076923,19255,7169,1985,3736,0.276886595062073,0.521132654484586,0.0196680150648626,2,2,5,5,5
"A84031","Greystoke Surgery",1,285,291,164,199,120,134,0.979381443298969,0.824120603015075,0.895522388059702,19255,10726,3203,5535,0.298620175275033,0.516035800857729,0.0271303374976692,2,4,5,5,5
"A84020","Guidepost Medical Group",1,223,225,138,174,89,95,0.991111111111111,0.793103448275862,0.936842105263158,6228,8035,2101,4025,0.261481020535159,0.500933416303671,0.0280024891101431,4,3,5,5,3
"A84034","Haltwhistle Medical Group",1,153,155,103,116,65,74,0.987096774193548,0.887931034482759,0.878378378378378,10365,5567,1777,2812,0.319202442967487,0.505119453924915,0.0278426441530447,3,2,5,5,3
"A84045","Haydon Bridge & Allendale Medical Pract",1,125,125,73,91,64,65,1,0.802197802197802,0.984615384615385,14562,5256,1653,2634,0.314497716894977,0.501141552511416,0.0237823439878234,3,1,5,5,3
"A84040","Humshaugh & Wark Med Grp",1,99,100,66,73,43,46,0.99,0.904109589041096,0.934782608695652,16394,3416,1112,1711,0.325526932084309,0.500878220140515,0.0292740046838408,2,1,5,5,3
"A84014","Marine Medical Group",1,281,281,152,220,109,127,1,0.690909090909091,0.858267716535433,546,13746,2970,7021,0.216062854648625,0.510766768514477,0.0204423104903245,5,4,5,4,4
"A84037","Netherfield House",1,134,134,95,115,46,52,1,0.826086956521739,0.884615384615385,11050,6006,1529,3041,0.254578754578755,0.506327006327006,0.0223110223110223,3,2,5,5,4
"A84029","Northumberland Health",1,87,89,58,73,24,26,0.97752808988764,0.794520547945205,0.923076923076923,9401,4593,1401,2305,0.305029392553886,0.501850642281733,0.0193773133028522,4,1,5,5,3
"A84007","Ponteland Medical Group",0.952727272727273,247,253,121,140,131,135,0.976284584980237,0.864285714285714,0.97037037037037,16307,10750,3086,5421,0.28706976744186,0.504279069767442,0.0235348837209302,2,4,5,5,3
"A84016","Prudhoe Medical Group",1,110,113,74,90,51,53,0.973451327433628,0.822222222222222,0.962264150943396,9217,6899,1470,3539,0.213074358602696,0.512972894622409,0.0163791853891868,4,2,4,4,5
"A84009","Railway Medical Group",1,439,472,331,474,161,193,0.930084745762712,0.69831223628692,0.83419689119171,546,27016,5537,13586,0.204952620669233,0.502887177968611,0.0174711282203139,5,5,5,4,3
"A84035","Riversdale Surgery",0.992727272727273,164,169,85,107,59,70,0.970414201183432,0.794392523364486,0.842857142857143,9217,5955,1701,3031,0.285642317380353,0.508984047019312,0.0283795130142737,4,2,5,5,4
"A84042","Scots Gap Medical Group",1,39,40,26,31,24,25,0.975,0.838709677419355,0.96,15757,2156,689,1063,0.319573283858998,0.4930426716141,0.0185528756957328,3,1,5,5,2
"A84028","Seaton Park Medical Group",1,448,458,311,376,151,166,0.978165938864629,0.827127659574468,0.909638554216867,6420,19732,4348,9847,0.220352726535577,0.499037097101155,0.0232110277721468,4,5,5,4,3
"A84614","The Adderlane Surgery",1,40,40,30,34,18,21,1,0.882352941176471,0.857142857142857,9217,2187,472,1072,0.215820759030636,0.490169181527206,0.0182898948331047,4,1,5,4,2
"A84013","The Gables Medical Group",1,125,128,96,115,42,45,0.9765625,0.834782608695652,0.933333333333333,3595,6311,1391,3234,0.220408810014261,0.512438599271114,0.0202820472191412,5,2,5,4,5
"A84002","The Rothbury Practice",0.972727272727273,153,156,88,119,47,51,0.980769230769231,0.739495798319328,0.92156862745098,24739,6156,2347,3151,0.381254061078622,0.511858349577648,0.0253411306042885,1,2,5,5,4
"A84033","The Sele Medical Practice",1,125,125,112,120,70,81,1,0.933333333333333,0.864197530864197,6288,5852,1746,2968,0.29835953520164,0.507177033492823,0.0213602187286398,4,2,5,5,4
"A84044","Union Brae & Norham Prac",0.971818181818182,162,175,108,142,69,90,0.925714285714286,0.76056338028169,0.766666666666667,10929,7175,2088,3669,0.291010452961672,0.511358885017422,0.024390243902439,3,2,5,5,4
"A84036","Valens Medical Partnership",1,987,1010,709,873,330,372,0.977227722772277,0.812142038946163,0.887096774193548,12065,49582,11320,25145,0.228308660400952,0.507139687789924,0.0203702956718164,3,5,5,4,4
"A84030","Village Medical Group",1,230,233,166,204,112,121,0.987124463519313,0.813725490196078,0.925619834710744,14837,11310,2869,5887,0.253669319186561,0.520512820512821,0.0206012378426172,3,4,5,5,5
"A84026","Well Close Medical Group",0.998181818181818,222,228,117,150,87,97,0.973684210526316,0.78,0.896907216494845,13099,9190,2732,4659,0.29727965179543,0.5069640914037,0.0248095756256801,3,3,5,5,4
"A84011","White Medical Group",1,153,154,100,114,107,113,0.993506493506494,0.87719298245614,0.946902654867257,16307,8636,2313,4400,0.267832329782307,0.509495136637332,0.0178323297823066,2,3,5,5,4
"A84604","Wooler Health",1,106,108,74,86,53,59,0.981481481481482,0.86046511627907,0.898305084745763,13557,4890,1775,2506,0.362985685071575,0.512474437627812,0.0220858895705521,3,1,5,5,5
"A88010","Albert Road Surgery",1,50,51,38,40,29,31,0.980392156862745,0.95,0.935483870967742,8873,3417,789,1699,0.230904302019315,0.497219783435762,0.0149253731343284,4,1,4,4,2
"A88013","Central Surgery",1,247,247,177,206,90,94,1,0.859223300970874,0.957446808510638,9073,19152,3632,9727,0.189640768588137,0.507884294068505,0.0128968253968254,4,5,3,3,4
"A88016","Colliery Court Medical Group",1,141,143,91,102,66,71,0.986013986013986,0.892156862745098,0.929577464788732,2700,8268,1910,4345,0.231011127237542,0.52552007740687,0.0172955974842767,5,3,5,4,5
"A88009","Dr Thorniley-Walker & Partners",1,98,101,58,76,62,71,0.97029702970297,0.763157894736842,0.873239436619718,2700,6030,1476,2994,0.244776119402985,0.496517412935323,0.0167495854063018,5,2,4,5,2
"A88613","East Wing Practice",1,66,67,55,67,30,32,0.985074626865672,0.82089552238806,0.9375,1634,4257,899,2183,0.211181583274607,0.512802443035001,0.0157387831806436,5,1,4,4,5
"A88012","Ellison View Surgery",1,95,96,74,89,42,44,0.989583333333333,0.831460674157303,0.954545454545455,6050,6049,1291,3070,0.213423706397752,0.507521904447016,0.0158703918002976,4,2,4,4,4
"A88002","Farnham Medical Ctr.",1,212,217,214,248,102,109,0.976958525345622,0.862903225806452,0.935779816513762,1971,16906,3537,8263,0.209215663078197,0.488761386490004,0.0128356796403644,5,5,3,4,2
"A88601","Imeary Medical Group",1,60,60,48,54,28,30,1,0.888888888888889,0.933333333333333,6314,4363,971,2171,0.222553289021316,0.49759339903736,0.0137520055008022,4,1,4,4,2
"A88003","Marsden Medical Group",1,302,309,233,283,158,174,0.977346278317152,0.823321554770318,0.908045977011494,9734,22847,5105,11232,0.223442902788112,0.491618155556528,0.0135247516085263,3,5,3,4,2
"A88004","Mayfield Medical Group",1,140,141,131,152,65,69,0.99290780141844,0.861842105263158,0.942028985507246,6325,9031,1798,4542,0.199092016387997,0.502934337282693,0.0156128889381021,4,3,4,3,3
"A88608","Ravensworth Surgery",1,108,108,87,112,36,39,1,0.776785714285714,0.923076923076923,24882,5945,1285,2851,0.216148023549201,0.479562657695542,0.0181665264928511,1,2,5,4,1
"A88015","St George & Riverside Medical Practice",1,89,91,67,77,35,40,0.978021978021978,0.87012987012987,0.875,1300,7411,1364,3453,0.184050735393334,0.465929024423155,0.0122790446633383,5,2,3,3,1
"A88006","Talbot Medical Centre",0.970909090909091,156,160,124,153,42,46,0.975,0.810457516339869,0.91304347826087,3691,7835,1763,4002,0.225015954052329,0.510784939374601,0.0204211869814933,5,3,5,4,4
"A88025","The G.P.Suite",1,68,68,66,77,33,36,1,0.857142857142857,0.916666666666667,1634,4386,1148,2250,0.261741906064752,0.512995896032832,0.0155038759689922,5,1,4,5,5
"A88022","The Glen Medical Group",1,124,127,105,137,42,47,0.976377952755906,0.766423357664234,0.893617021276596,6050,11153,1794,5739,0.160853581995876,0.51457007083296,0.0113870707432978,4,4,3,2,5
"A88008","Trinity Medical Centre",1,80,80,81,91,36,37,1,0.89010989010989,0.972972972972973,1300,6428,1369,2983,0.212974486621033,0.46406347230865,0.0124455507156192,5,2,3,4,1
"A88001","Victoria Medical Centre",1,70,70,55,64,35,36,1,0.859375,0.972222222222222,6050,3651,749,1745,0.20514927417146,0.477951246233908,0.0191728293618187,4,1,5,4,1
"A88005","Wenlock Road Surgery",1,55,55,54,60,20,23,1,0.9,0.869565217391304,11757,4439,848,2091,0.191034016670421,0.471052038747466,0.0123901779680108,3,1,3,3,1
"A88014","West View Surgery",1,23,23,29,34,9,10,1,0.852941176470588,0.9,6314,2879,380,1120,0.131990274400834,0.389023966655089,0.00798888502952414,4,1,2,2,1
"A88023","Whitburn Surgery",0.959090909090909,79,79,55,77,33,41,1,0.714285714285714,0.804878048780488,13052,5373,1403,2770,0.261120416899311,0.515540666294435,0.0147031453564117,3,2,4,5,5
"A89018","Ashburn Medical Centre",1,92,93,70,81,37,42,0.989247311827957,0.864197530864197,0.880952380952381,2769,5304,1051,2548,0.19815233785822,0.480392156862745,0.0175339366515837,5,2,5,3,1
"A89019","Bridge View Medical Group",1,259,260,223,283,124,138,0.996153846153846,0.787985865724382,0.898550724637681,556,14888,2929,7583,0.196735626007523,0.509336378291241,0.0174637291778614,5,5,5,3,4
"A89036","Castletown Medical Centre",0.962727272727273,27,28,16,29,5,7,0.964285714285714,0.551724137931034,0.714285714285714,4976,2112,425,987,0.201231060606061,0.467329545454545,0.0132575757575758,4,1,3,3,1
"A89623","Chester Surgery",1,30,30,27,31,14,16,1,0.870967741935484,0.875,8032,3068,515,1395,0.167861799217731,0.454693611473272,0.00977835723598435,4,1,2,3,1
"A89022","Concord Medical Practice",1,96,98,62,75,41,45,0.979591836734694,0.826666666666667,0.911111111111111,1068,5208,1297,2688,0.249039938556068,0.516129032258065,0.0188172043010753,5,1,5,5,5
"A89001","Deerness Park Medical Group",1,177,177,165,207,87,99,1,0.797101449275362,0.878787878787879,4107,13497,2629,6813,0.19478402607987,0.504778839742165,0.0131140253389642,5,4,3,3,3
"A89020","Forge Medical Practice",1,97,99,105,119,44,48,0.97979797979798,0.882352941176471,0.916666666666667,4253,8624,1548,3932,0.179499072356215,0.455936920222634,0.0114795918367347,5,3,3,3,1
"A89015","Fulwell Medical Centre,",1,175,177,108,127,103,112,0.988700564971751,0.850393700787402,0.919642857142857,26562,9239,2628,4853,0.284446368654616,0.525273297975971,0.0191579175235415,1,3,5,5,5
"A89012","Galleries Medical Practice",1,161,165,156,189,46,49,0.975757575757576,0.825396825396825,0.938775510204082,13085,11512,2466,5732,0.214211257817929,0.497915218902015,0.0143328700486449,3,4,4,4,2
"A89028","Grangewood Surgery",1,138,142,109,113,59,67,0.971830985915493,0.964601769911504,0.880597014925373,14605,7414,1649,3706,0.222417048826544,0.499865120043162,0.0191529538710548,3,2,5,4,3
"A89041","Happy House Surgery",1,93,94,105,120,29,31,0.98936170212766,0.875,0.935483870967742,1590,8186,1388,4209,0.169557781578304,0.514170535059858,0.0114830197898852,5,3,3,3,5
"A89009","Herrington Medical Centre",1,111,111,103,110,59,65,1,0.936363636363636,0.907692307692308,7841,9588,1891,4891,0.197225698790154,0.51011681268252,0.0115769712140175,4,3,3,3,4
"A89004","Hetton Group Practice",1,191,192,139,173,97,104,0.994791666666667,0.803468208092486,0.932692307692308,2003,11818,2718,5978,0.229988153663903,0.505838551362329,0.0162464037908276,5,4,4,4,4
"A89023","Houghton Medical Group,",1,151,151,114,131,69,74,1,0.870229007633588,0.932432432432432,3990,8396,1840,4338,0.219151977131968,0.516674606955693,0.0179847546450691,5,3,5,4,5
"A89031","Hylton Medical Group",1,68,69,53,64,24,24,0.985507246376812,0.828125,1,6904,7201,859,3483,0.119288987640605,0.483682821830301,0.00958200249965283,4,2,2,2,1
"A89617","I J Healthcare",0.783636363636364,40,41,28,36,17,18,0.975609756097561,0.777777777777778,0.944444444444444,30108,3615,909,1734,0.251452282157676,0.479668049792531,0.0113416320885201,1,1,3,5,1
"A89021","Kepier Medical Practice",1,146,148,119,140,57,62,0.986486486486487,0.85,0.919354838709677,6289,8551,1787,4339,0.208981405683546,0.507426032043036,0.0173079172026664,4,3,5,4,4
"A89017","Millfield Medical Group",1,210,216,170,207,61,68,0.972222222222222,0.821256038647343,0.897058823529412,2445,14521,2661,7113,0.183251842159631,0.489842297362441,0.0148750086082226,5,5,4,3,2
"A89040","Monkwearmouth Health Centre",1,66,66,56,61,44,50,1,0.918032786885246,0.88,2598,4640,1133,2077,0.244181034482759,0.447629310344828,0.0142241379310345,5,1,4,4,1
"A89032","New Silksworth Medical Practice",0.983636363636364,153,160,98,110,73,78,0.95625,0.890909090909091,0.935897435897436,15731,9181,2099,4716,0.228624332861344,0.513669534909051,0.0174272955015793,3,3,5,4,5
"A89026","New Washington Medical Group",1,102,105,100,116,52,57,0.971428571428571,0.862068965517241,0.912280701754386,1068,7202,1720,3633,0.238822549291863,0.504443210219384,0.0145792835323521,5,2,4,4,3
"A89007","Pallion Family Practice",0.774545454545455,127,139,94,128,55,67,0.913669064748201,0.734375,0.82089552238806,6904,10091,2048,5076,0.202953126548409,0.503022495292835,0.0137746506788227,4,3,4,4,3
"A89034","Park Lane Practice",1,45,46,31,38,21,23,0.978260869565217,0.815789473684211,0.91304347826087,4616,4364,504,1895,0.115490375802017,0.434234647112741,0.0105407882676444,4,1,2,2,1
"A89008","Red House Medical Centre",0.822727272727273,73,81,61,77,33,41,0.901234567901235,0.792207792207792,0.804878048780488,4395,5544,937,2698,0.169011544011544,0.486652236652237,0.0146103896103896,4,2,4,3,2
"A89616","Rickleton Medical Centre",0.999090909090909,26,26,22,28,11,11,1,0.785714285714286,1,25819,2775,560,1433,0.201801801801802,0.516396396396396,0.00936936936936937,1,1,2,4,5
"A89002","Riverview Surgery",0.980909090909091,65,66,61,71,29,29,0.984848484848485,0.859154929577465,1,2769,6991,1028,3175,0.147046202260049,0.454155342583321,0.0094407094836218,5,2,2,2,1
"A89035","Southlands Medical Group",1,129,129,112,141,68,73,1,0.794326241134752,0.931506849315068,18277,10560,2024,5490,0.191666666666667,0.519886363636364,0.0122159090909091,2,4,3,3,5
"A89027","Springwell Medical Group",1,107,110,102,122,31,33,0.972727272727273,0.836065573770492,0.939393939393939,3716,6416,1180,3395,0.183915211970075,0.529145885286783,0.01714463840399,5,2,5,3,5
"A89016","St Bede Medical Centre",1,117,117,114,127,61,65,1,0.897637795275591,0.938461538461538,2598,9316,1968,4552,0.211249463288965,0.488621726062688,0.0125590382138257,5,3,3,4,2
"A89025","Sunderland Gp Alliance Medical Practice",0.957272727272727,104,106,99,124,30,31,0.981132075471698,0.798387096774194,0.967741935483871,13085,10090,1793,5100,0.177700693756194,0.505450941526264,0.0105054509415263,3,3,2,3,3
"A89614","Sunderland Gp Alliance South Hylton Surg",1,59,60,51,61,26,27,0.983333333333333,0.836065573770492,0.962962962962963,9780,4553,854,2282,0.187568636064134,0.50120799472875,0.0131781243136394,3,1,3,3,3
"A89024","The Broadway Medical Practice",1,118,118,89,104,58,58,1,0.855769230769231,1,3716,7725,1553,3990,0.201035598705502,0.516504854368932,0.0152750809061489,5,3,4,3,5
"A89013","The New City Medical Group",0.949090909090909,57,58,50,67,42,47,0.982758620689655,0.746268656716418,0.893617021276596,109,5665,1191,2679,0.210238305383936,0.472903795233892,0.0102383053839365,5,2,2,4,1
"A89010","The Stephenson Medical Practice",1,206,206,172,192,100,106,1,0.895833333333333,0.943396226415094,1068,12279,2984,6220,0.243016532290903,0.506555908461601,0.0167766104731656,5,4,4,4,4
"A89011","Village Surgery Partnership",1,67,69,50,63,28,29,0.971014492753623,0.793650793650794,0.96551724137931,15731,4795,988,2447,0.206047966631908,0.510323253388947,0.0143899895724713,3,1,4,4,4
"A89005","Villette Surgery",1,98,99,74,90,64,70,0.98989898989899,0.822222222222222,0.914285714285714,18,5777,1395,2854,0.241474813917258,0.494028042236455,0.017136922277999,5,2,5,4,2
"A89006","Wearside Medical Practice - Pallion",1,74,74,68,78,25,28,1,0.871794871794872,0.892857142857143,6904,8083,1191,3902,0.14734628232092,0.482741556352839,0.00915501670171966,4,3,2,2,1
"A89030","Westbourne Medical Group",1,111,112,85,108,56,62,0.991071428571429,0.787037037037037,0.903225806451613,994,6637,1486,3378,0.223896338707247,0.508964893777309,0.0168750941690523,5,2,4,4,4
"Y02657","Bentham Road Health Centre",0.97,74,82,70,99,22,30,0.902439024390244,0.707070707070707,0.733333333333333,477,8314,1052,4300,0.126533557854222,0.517199903776762,0.00986288188597546,5,3,2,2,5
"P81704","Blakewater Healthcare",1,105,105,88,111,32,34,1,0.792792792792793,0.941176470588235,3341,11085,1528,5477,0.137843933243121,0.494091114118178,0.0094722598105548,5,4,2,2,2
"P81155","Brownhill Surgery",1,71,72,55,61,50,50,0.986111111111111,0.901639344262295,1,8700,6083,1094,3079,0.179845470984711,0.506164721354595,0.011836265000822,4,2,3,3,4
"P81051","Darwen Healthcare",1,185,189,169,194,69,74,0.978835978835979,0.871134020618557,0.932432432432432,9207,14361,2580,7205,0.179653227491122,0.501706009330827,0.0131606434092333,4,5,3,3,3
"P81140","Darwen Healthlink",1,150,153,146,179,73,83,0.980392156862745,0.815642458100559,0.879518072289157,9207,15502,2979,7546,0.192168752419043,0.486775899883886,0.00986969423300219,4,5,2,3,2
"P81694","Family Practice",1,21,23,21,34,10,10,0.91304347826087,0.617647058823529,1,1696,5391,391,2434,0.0725282878872194,0.451493229456502,0.00426636987571879,5,2,1,1,1
"P81721","Hollins Grove Surgery",1,18,19,20,24,6,6,0.947368421052632,0.833333333333333,1,3298,2501,308,1173,0.123150739704118,0.469012395041983,0.00759696121551379,5,1,2,2,1
"P81214","Limefield Surgery",1,47,48,35,44,24,26,0.979166666666667,0.795454545454545,0.923076923076923,1522,4687,724,2271,0.154469810113079,0.48453168337956,0.0102410923831875,5,1,2,2,1
"P81005","Little Harwood Health Centre",1,160,162,120,154,74,80,0.987654320987654,0.779220779220779,0.925,6594,12231,2059,6000,0.168342735671654,0.49055678194751,0.0132450331125828,4,4,3,3,2
